session,base_session,model,root_agent,root_generation,is_root_swarm_session,meta_created_utc,meta_updated_utc,meta_message_count,actual_message_count,assistant_messages_stream_count,first_assistant_utc,last_assistant_utc,usage_records,prompt_tokens_recorded,completion_tokens_recorded,cached_tokens_recorded,gen2_memory_says_no_inbound_citers,phase1_raw_inbound_events,parse_error
3929d174-f75.archive.0,3929d174-f75,seed-stable-reasoning,agent-030,1,True,2026-08-01T20:18:12.000104Z,2026-08-01T20:18:12.000104Z,238,not_loaded_memory_safe,104,2026-08-01T16:22:18.117697Z,2026-08-01T20:16:57.321511Z,not_scanned,,,,False,17,False
3929d174-f75,3929d174-f75,seed-stable-reasoning,agent-030,1,True,2026-08-01T16:21:55.565813Z,2026-08-02T23:14:52.253971Z,409,not_loaded_memory_safe,311,2026-08-01T20:12:16.839685Z,2026-08-02T23:14:48.560641Z,not_scanned,,,,False,17,False
3bb0ffec-276.archive.0,3bb0ffec-276,seed-stable-reasoning-high,agent-028,1,True,2026-08-01T20:35:41.657603Z,2026-08-01T20:35:41.657603Z,262,not_loaded_memory_safe,120,2026-08-01T16:22:17.948625Z,2026-08-01T20:34:55.480751Z,not_scanned,,,,False,16,False
3bb0ffec-276.archive.1,3bb0ffec-276,seed-stable-reasoning-high,agent-028,1,True,2026-08-01T22:49:23.289669Z,2026-08-01T22:49:23.289669Z,210,not_loaded_memory_safe,104,2026-08-01T20:30:04.079528Z,2026-08-01T22:48:17.677739Z,not_scanned,,,,False,,False
3bb0ffec-276,3bb0ffec-276,seed-stable-reasoning-high,agent-028,1,True,2026-08-01T16:21:55.334164Z,2026-08-02T20:43:04.285463Z,198,not_loaded_memory_safe,103,2026-08-01T22:37:18.359813Z,2026-08-02T20:37:09.845965Z,not_scanned,,,,False,,False
433ce5ae-a55,433ce5ae-a55,es1_orange_o50_thinking_max,agent-015,2,True,2026-08-02T08:25:54.053924Z,2026-08-02T22:16:18.477386Z,58,not_loaded_memory_safe,66,2026-08-02T08:27:08.366750Z,2026-08-02T22:14:40.492537Z,not_scanned,,,,True,24,False
435c2c66-3e4.archive.0,435c2c66-3e4,seed-stable-reasoning-high,agent-025,1,True,2026-08-01T20:25:21.618233Z,2026-08-01T20:25:21.618233Z,248,not_loaded_memory_safe,105,2026-08-01T16:22:10.288122Z,2026-08-01T20:24:35.311054Z,not_scanned,,,,False,9,False
435c2c66-3e4.archive.1,435c2c66-3e4,seed-stable-reasoning-high,agent-025,1,True,2026-08-01T23:49:39.228366Z,2026-08-01T23:49:39.228366Z,352,not_loaded_memory_safe,168,2026-08-01T20:21:58.193277Z,2026-08-01T23:47:50.302438Z,not_scanned,,,,False,,False
435c2c66-3e4,435c2c66-3e4,seed-stable-reasoning-high,agent-025,1,True,2026-08-01T16:21:37.056281Z,2026-08-02T20:43:53.967352Z,144,not_loaded_memory_safe,71,2026-08-01T23:22:56.520809Z,2026-08-02T20:40:38.257852Z,not_scanned,,,,False,,False
447582cb-b85,447582cb-b85,es1_orange_o50_thinking_max,agent-015,1,True,2026-08-01T16:21:30.919724Z,2026-08-03T02:10:42.347922Z,331,not_loaded_memory_safe,516,2026-08-01T16:21:54.741828Z,2026-08-03T02:09:15.969776Z,not_scanned,,,,False,24,False
48f74826-685,48f74826-685,es1_orange_o50,agent-023,2,True,2026-08-02T08:45:11.123698Z,2026-08-02T20:57:19.554230Z,50,not_loaded_memory_safe,42,2026-08-02T08:45:50.443035Z,2026-08-02T20:57:04.052895Z,not_scanned,,,,True,18,False
4df126cf-c3e,4df126cf-c3e,seed-stable-reasoning,agent-032,2,True,2026-08-02T08:48:49.479000Z,2026-08-02T21:41:19.455312Z,60,not_loaded_memory_safe,21,2026-08-02T08:51:26.967661Z,2026-08-02T21:40:33.621013Z,not_scanned,,,,True,10,False
511836a8-ae0,511836a8-ae0,gpt56_sol_reasoning_xhigh,agent-001,2,True,2026-08-02T08:32:36.615198Z,2026-08-02T20:47:38.693993Z,58,not_loaded_memory_safe,28,2026-08-02T08:33:43.257371Z,2026-08-02T20:40:09.419215Z,not_scanned,,,,True,53,False
51fcb318-81e,51fcb318-81e,es1_orange_o50_thinking,agent-020,2,True,2026-08-02T08:29:10.226171Z,2026-08-03T02:55:47.579712Z,54,not_loaded_memory_safe,109,2026-08-02T08:30:28.899919Z,2026-08-03T02:55:47.553273Z,not_scanned,,,,True,25,False
5298fdad-23c,5298fdad-23c,gpt56_sol,agent-012,2,True,2026-08-02T08:24:13.990256Z,2026-08-02T11:46:11.662526Z,59,not_loaded_memory_safe,18,2026-08-02T08:25:38.659559Z,2026-08-02T11:38:50.188836Z,not_scanned,,,,True,22,False
564360b0-c88,564360b0-c88,gpt56_sol_reasoning_high,agent-007,2,True,2026-08-02T08:22:27.293727Z,2026-08-02T21:36:18.190131Z,73,not_loaded_memory_safe,51,2026-08-02T08:23:22.509472Z,2026-08-02T21:35:49.298545Z,not_scanned,,,,True,38,False
57190b1d-2fb,57190b1d-2fb,gpt56_sol_reasoning_xhigh,,,False,2026-08-01T16:37:27.724339Z,2026-08-01T19:41:13.665140Z,250,not_loaded_memory_safe,51,2026-08-01T16:37:55.680972Z,2026-08-01T19:41:11.844263Z,not_scanned,,,,False,,False
58968f68-03f,58968f68-03f,gpt56_sol_reasoning_xhigh,,,False,2026-08-01T22:04:47.255791Z,2026-08-01T22:23:22.735294Z,50,not_loaded_memory_safe,20,2026-08-01T22:05:03.690995Z,2026-08-01T22:23:18.746223Z,not_scanned,,,,False,,False
58e7a035-247,58e7a035-247,gpt56_sol_reasoning_xhigh,agent-001,1,True,2026-08-01T16:21:25.280894Z,2026-08-03T07:14:48.595932Z,1084,not_loaded_memory_safe,475,2026-08-01T16:21:54.940212Z,2026-08-03T07:14:48.107257Z,not_scanned,,,,False,53,False
5936a57a-38d,5936a57a-38d,seed-stable,agent-035,2,True,2026-08-02T08:51:30.913298Z,2026-08-02T20:43:48.987590Z,55,not_loaded_memory_safe,19,2026-08-02T08:53:09.983769Z,2026-08-02T20:40:16.599360Z,not_scanned,,,,True,14,False
5cd3679a-c1b,5cd3679a-c1b,gpt56_sol_reasoning_xhigh,,,False,2026-08-01T22:21:52.222820Z,2026-08-01T22:35:20.215345Z,27,not_loaded_memory_safe,7,2026-08-01T22:22:21.378228Z,2026-08-01T22:35:15.097721Z,not_scanned,,,,False,,False
5fb53bc1-10c.archive.0,5fb53bc1-10c,seed-stable-reasoning,agent-032,1,True,2026-08-01T21:31:53.849296Z,2026-08-01T21:31:53.849296Z,332,not_loaded_memory_safe,268,2026-08-01T16:22:22.213728Z,2026-08-01T21:30:41.424691Z,not_scanned,,,,False,10,False
5fb53bc1-10c,5fb53bc1-10c,seed-stable-reasoning,agent-032,1,True,2026-08-01T16:21:58.964269Z,2026-08-02T20:45:29.800311Z,306,not_loaded_memory_safe,282,2026-08-01T16:23:58.748704Z,2026-08-02T20:40:56.078120Z,not_scanned,,,,False,,False
6016abe1-8a0,6016abe1-8a0,gpt56_sol_reasoning_xhigh,,,False,2026-08-02T22:36:45.638625Z,2026-08-02T23:40:36.391651Z,33,not_loaded_memory_safe,11,2026-08-02T22:41:52.231843Z,2026-08-02T23:40:35.384853Z,not_scanned,,,,False,,False
6675c042-cbf,6675c042-cbf,gpt56_sol_reasoning_xhigh,,,False,2026-08-01T17:39:52.190373Z,2026-08-01T19:23:39.588321Z,162,not_loaded_memory_safe,32,2026-08-01T17:41:13.386814Z,2026-08-01T19:23:16.114147Z,not_scanned,,,,False,,False
