host,pid,captured_utc,context_index,agent_id,client_class,model,history_field,history_count,system_count,user_count,assistant_count,tool_count,typed_item_count,direct_string_content_chars,history_sha256,history_sha256_recomputed,recovery_method,file_bytes,file_sha256,path
122448,55055,2026-08-03T14:33:27.704755+00:00,0,agent-0219,AzureResponsesAgent,gpt-5.6-sol,input_items,436,0,87,84,0,349,97044,f896ed2413e63a77f400cfa634c9c2262b30845730f27ff788d4ff87c38a65eb,f896ed2413e63a77f400cfa634c9c2262b30845730f27ff788d4ff87c38a65eb,live_process_sanitized_export,516682,72ae656324db1f2b279cc2671bf20ef73005c6310c4dc61755469f40a4a50c1f,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_55055.json
122448,57273,2026-08-03T14:33:27.957069+00:00,0,agent-080,OpenAIAgent,ep-20260802152152-sklbd,messages,26,1,25,0,0,0,28967,17ddccb1ec267056a7e2c8c68ff09385cb612d6a5c00c9cca4c3c02664bbb531,17ddccb1ec267056a7e2c8c68ff09385cb612d6a5c00c9cca4c3c02664bbb531,live_process_sanitized_export,31767,4a5b3003d0e2181aab53059d7b397ad99a2cc18bd935a753ff84a21ceb9fd69d,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_57273.json
122448,58006,2026-08-03T14:33:28.192586+00:00,0,agent-0224,OpenAIAgent,ep-20260802152152-sklbd,messages,21,1,20,0,0,0,23344,dd22349a30b4e66b26879d9e58c94bb07b13a968f6ff849a48388d9031123d03,dd22349a30b4e66b26879d9e58c94bb07b13a968f6ff849a48388d9031123d03,live_process_sanitized_export,25759,540df7d8e6b09923cd3cee33acb89a5027da538f4b4466e93e8b1e75fc33d220,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_58006.json
122448,59693,2026-08-03T14:33:28.443881+00:00,0,agent-085,AnthropicAgent,es1_orange_o50,messages,35,0,22,13,0,0,9185,1d7f7e8d0f4421aadae10106ad2f5cb6d49df21cf5d9f2b21aada7b3f5558b65,1d7f7e8d0f4421aadae10106ad2f5cb6d49df21cf5d9f2b21aada7b3f5558b65,live_process_sanitized_export,152102,d50bdade4907c4ddd216a814128db29b8bc0a2e7aec530393ad931de2bb11966,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_59693.json
122448,61034,2026-08-03T14:33:28.681089+00:00,0,agent-0229,AzureResponsesAgent,gpt-5.6-sol,input_items,89,0,3,2,0,86,2450,eb6ae9b47545ac2fa1a18782abb79a2492d36e0aa6fbb0510c1ad3e08cba1419,eb6ae9b47545ac2fa1a18782abb79a2492d36e0aa6fbb0510c1ad3e08cba1419,live_process_sanitized_export,320480,932528045245b907d7b85fd74a766ab6dafff2e4f76ae77836b72acaf977bd47,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_61034.json
122448,62782,2026-08-03T14:35:03.950304+00:00,0,agent-0234,OpenAIAgent,ep-20260802152152-sklbd,messages,2,1,1,0,0,0,1951,c663ba4eb0aa2d1f7d373bf10d4b54ebbf3ac84e169203cb27484b474032c789,c663ba4eb0aa2d1f7d373bf10d4b54ebbf3ac84e169203cb27484b474032c789,live_process_sanitized_export,2759,4f81cc5af77b4cd47d55101bd71abcf6ed044b10e0970be6f432fa1a2e9df92d,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_62782.json
122448,66068,2026-08-03T17:08:13.096308+00:00,0,agent-0239,AnthropicAgent,es1_orange_o50,messages,268,0,135,133,0,0,12583,9196fe8756174f4646157c87bd6a1a1c4c22061b04da324ac0af78f7024806ba,9196fe8756174f4646157c87bd6a1a1c4c22061b04da324ac0af78f7024806ba,live_process_sanitized_export,1058589,4b2d5c9f5b36dd2c271548d197ed368bc58d756575e2b35a6fae96ac9be3f83a,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_66068.json
122448,66200,2026-08-03T17:08:13.472895+00:00,0,agent-0244,OpenAIAgent,ep-20260802152152-sklbd,messages,327,1,17,149,160,0,397893,812fce2b29526b01be9a09502ec739db01cc31639a523b6cc8ca12446b5c68c6,812fce2b29526b01be9a09502ec739db01cc31639a523b6cc8ca12446b5c68c6,live_process_sanitized_export,1084839,c0f45109dcc92be401795af38ad5ab9fe1e80d435f5ee0f9821e94e2a14e915e,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_66200.json
122448,67533,2026-08-03T17:08:13.830097+00:00,0,agent-090,OpenAIAgent,ep-20260802152152-sklbd,messages,184,1,3,82,98,0,283236,0002f93fb538b0c4f77c97013fa15ba0d842acccf40a573d8d676ee62a8948b2,0002f93fb538b0c4f77c97013fa15ba0d842acccf40a573d8d676ee62a8948b2,live_process_sanitized_export,557619,d6601d4938cefaebbe2007688260f64ee2cae25bdeafc8d5ebe99331554f6b77,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_67533.json
122456,34880,2026-08-03T14:34:15.607211+00:00,0,agent-0180,OpenAIAgent,ep-20260702161005-jcdtr,messages,179,1,178,0,0,0,200932,14c541b2c1c0186b585272e8ead24a2c57a863bcaf4b2abbb842e8772e64150f,14c541b2c1c0186b585272e8ead24a2c57a863bcaf4b2abbb842e8772e64150f,live_process_sanitized_export,218675,16fc2d1cce565e9826937e2f0b3a71b123450899bc4b1f20ddde25d1f07032c7,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122456/pid_34880.json
